LfdNr;Jahr;Woche;Tag;Datum;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;Zusatz;Super;Spiel77;Super6
1;1955;42;S;09.10.1955;3;12;13;16;23;41;  ; ;       ;      
2;1955;43;S;16.10.1955;3;12;18;30;32;49;  ; ;       ;      
3;1955;44;S;23.10.1955;12;14;23;24;34;36;  ; ;       ;      
4;1955;45;S;30.10.1955;4;13;23;30;36;44;  ; ;       ;      
5;1955;46;S;06.11.1955;5;6;31;39;44;49;  ; ;       ;      
6;1955;47;S;13.11.1955;6;18;22;29;37;44;  ; ;       ;      
7;1955;48;S;20.11.1955;4;8;12;16;27;44;  ; ;       ;      
8;1955;49;S;27.11.1955;9;24;26;37;44;46;  ; ;       ;      
9;1955;50;S;04.12.1955;5;20;21;26;31;47;  ; ;       ;      
10;1955;51;S;11.12.1955;8;10;22;26;31;37;  ; ;       ;      
11;1955;52;S;18.12.1955;8;14;26;36;39;42;  ; ;       ;      
12;1955;53;S;26.12.1955;5;9;34;38;39;42;  ; ;       ;      
13;1956;1;S;01.01.1956;4;22;27;36;38;46;  ; ;       ;      
14;1956;2;S;08.01.1956;6;21;22;37;41;42;  ; ;       ;      
15;1956;3;S;15.01.1956;1;9;16;19;29;49;  ; ;       ;      
16;1956;4;S;22.01.1956;12;17;23;27;35;40;  ; ;       ;      
17;1956;5;S;29.01.1956;5;6;18;22;38;43;  ; ;       ;      
18;1956;6;S;05.02.1956;12;26;35;36;42;43;  ; ;       ;      
19;1956;7;S;12.02.1956;1;14;23;27;30;33;  ; ;       ;      
20;1956;8;S;19.02.1956;8;20;26;35;38;42;  ; ;       ;      
21;1956;9;S;26.02.1956;1;30;32;42;45;48;  ; ;       ;      
22;1956;10;S;04.03.1956;4;6;17;19;41;47;  ; ;       ;      
23;1956;11;S;11.03.1956;6;9;20;22;26;28;  ; ;       ;      
24;1956;12;S;18.03.1956;3;10;24;26;38;49;  ; ;       ;      
25;1956;13;S;25.03.1956;3;16;18;19;37;42;  ; ;       ;      
26;1956;14;S;02.04.1956;7;10;22;25;32;43;  ; ;       ;      
27;1956;15;S;08.04.1956;2;19;25;30;32;39;  ; ;       ;      
28;1956;16;S;15.04.1956;1;12;14;31;32;46;  ; ;       ;      
29;1956;17;S;22.04.1956;10;19;21;24;33;35;  ; ;       ;      
30;1956;18;S;29.04.1956;4;18;34;36;40;47;  ; ;       ;      
31;1956;19;S;06.05.1956;1;3;39;41;45;49;  ; ;       ;      
32;1956;20;S;13.05.1956;4;31;32;34;39;43;  ; ;       ;      
33;1956;21;S;21.05.1956;6;12;22;31;37;42;  ; ;       ;      
34;1956;22;S;27.05.1956;5;33;35;36;38;43;  ; ;       ;      
35;1956;23;S;03.06.1956;11;17;33;34;35;36;  ; ;       ;      
36;1956;24;S;10.06.1956;10;14;16;23;40;46;  ; ;       ;      
37;1956;25;S;17.06.1956;5;19;25;38;41;46;24; ;       ;      
38;1956;26;S;24.06.1956;14;16;18;32;37;43;21; ;       ;      
39;1956;27;S;01.07.1956;5;13;21;25;35;44;10; ;       ;      
40;1956;28;S;08.07.1956;3;20;42;43;47;48;19; ;       ;      
41;1956;29;S;15.07.1956;12;17;19;23;34;48;32; ;       ;      
42;1956;30;S;22.07.1956;5;8;10;18;38;48;14; ;       ;      
43;1956;31;S;29.07.1956;9;10;17;23;27;35;39; ;       ;      
44;1956;32;S;05.08.1956;9;23;25;31;40;46;49; ;       ;      
45;1956;33;S;12.08.1956;4;10;11;26;31;47;13; ;       ;      
46;1956;34;S;19.08.1956;5;6;14;33;34;40;21; ;       ;      
47;1956;35;S;26.08.1956;3;11;16;25;29;36;39; ;       ;      
48;1956;36;S;02.09.1956;14;26;31;40;48;49;10; ;       ;      
49;1956;37;S;09.09.1956;15;22;27;28;42;47;33; ;       ;      
50;1956;38;S;16.09.1956;4;8;17;18;23;42;41; ;       ;      
51;1956;39;S;23.09.1956;5;6;9;21;22;31;10; ;       ;      
52;1956;40;S;30.09.1956;9;10;24;27;36;39;19; ;       ;      
53;1956;41;S;07.10.1956;6;9;29;33;36;44;39; ;       ;      
54;1956;42;S;14.10.1956;10;11;12;25;32;42;27; ;       ;      
55;1956;43;S;21.10.1956;1;2;22;36;41;48;20; ;       ;      
56;1956;44;S;28.10.1956;5;17;29;39;47;49;31; ;       ;      
57;1956;45;S;04.11.1956;7;16;19;33;38;39;42; ;       ;      
58;1956;46;S;11.11.1956;7;14;29;34;36;49;15; ;       ;      
59;1956;47;S;18.11.1956;14;16;28;37;39;40;42; ;       ;      
60;1956;48;S;25.11.1956;6;9;16;25;36;44;34; ;       ;      
61;1956;49;S;02.12.1956;9;10;15;21;27;47;14; ;       ;      
62;1956;50;S;09.12.1956;6;7;11;13;32;43;33; ;       ;      
63;1956;51;S;16.12.1956;15;17;20;23;31;35;26; ;       ;      
64;1956;52;S;23.12.1956;1;5;13;45;47;49;29; ;       ;      
65;1957;1;S;06.01.1957;11;17;23;26;31;38;40; ;       ;      
66;1957;2;S;13.01.1957;4;15;16;17;19;20;28; ;       ;      
67;1957;3;S;20.01.1957;3;6;7;12;33;47;2; ;       ;      
68;1957;4;S;27.01.1957;2;6;9;28;39;49;20; ;       ;      
69;1957;5;S;03.02.1957;6;12;30;34;39;43;14; ;       ;      
70;1957;6;S;10.02.1957;9;17;18;19;31;49;30; ;       ;      
71;1957;7;S;17.02.1957;1;9;15;31;35;42;48; ;       ;      
72;1957;8;S;24.02.1957;2;15;16;23;28;43;48; ;       ;      
73;1957;9;S;03.03.1957;4;9;11;34;36;45;8; ;       ;      
74;1957;10;S;10.03.1957;2;7;18;35;36;45;29; ;       ;      
75;1957;11;S;17.03.1957;3;14;24;32;35;44;47; ;       ;      
76;1957;12;S;24.03.1957;14;18;22;31;45;48;20; ;       ;      
77;1957;13;S;31.03.1957;20;26;27;30;44;47;35; ;       ;      
78;1957;14;S;07.04.1957;2;14;18;31;40;48;36; ;       ;      
79;1957;15;S;14.04.1957;6;15;18;28;39;44;5; ;       ;      
80;1957;16;S;22.04.1957;11;27;35;39;44;45;13; ;       ;      
81;1957;17;S;28.04.1957;18;20;23;33;37;43;42; ;       ;      
82;1957;18;S;05.05.1957;2;4;22;27;31;41;38; ;       ;      
83;1957;19;S;12.05.1957;15;17;21;24;31;40;8; ;       ;      
84;1957;20;S;19.05.1957;16;20;28;29;30;44;4; ;       ;      
85;1957;21;S;26.05.1957;1;3;24;35;40;45;42; ;       ;      
86;1957;22;S;02.06.1957;3;4;14;29;32;37;5; ;       ;      
87;1957;23;S;10.06.1957;1;7;8;32;35;47;3; ;       ;      
88;1957;24;S;16.06.1957;14;21;30;34;38;44;25; ;       ;      
89;1957;25;S;23.06.1957;4;8;10;12;19;25;13; ;       ;      
90;1957;26;S;30.06.1957;15;23;31;36;37;46;24; ;       ;      
91;1957;27;S;07.07.1957;5;6;11;14;22;26;46; ;       ;      
92;1957;28;S;14.07.1957;28;30;34;40;41;44;26; ;       ;      
93;1957;29;S;21.07.1957;1;2;3;23;42;44;47; ;       ;      
94;1957;30;S;28.07.1957;1;9;20;25;27;34;48; ;       ;      
95;1957;31;S;04.08.1957;6;8;17;42;43;48;49; ;       ;      
96;1957;32;S;11.08.1957;13;26;29;33;36;39;22; ;       ;      
97;1957;33;S;18.08.1957;3;8;14;40;41;48;43; ;       ;      
98;1957;34;S;25.08.1957;24;30;31;36;38;42;10; ;       ;      
99;1957;35;S;01.09.1957;2;4;7;27;40;47;45; ;       ;      
100;1957;36;S;08.09.1957;12;20;21;27;38;40;4; ;       ;      
101;1957;37;S;15.09.1957;12;19;24;28;34;37;26; ;       ;      
102;1957;38;S;22.09.1957;7;9;10;25;33;35;18; ;       ;      
103;1957;39;S;29.09.1957;13;20;21;22;26;42;41; ;       ;      
104;1957;40;S;06.10.1957;6;9;11;25;26;31;7; ;       ;      
105;1957;41;S;13.10.1957;1;14;29;30;41;49;48; ;       ;      
106;1957;42;S;20.10.1957;2;24;27;35;36;42;41; ;       ;      
107;1957;43;S;27.10.1957;2;4;9;18;22;23;41; ;       ;      
108;1957;44;S;03.11.1957;3;11;26;45;46;49;41; ;       ;      
109;1957;45;S;10.11.1957;16;20;24;30;45;46;4; ;       ;      
110;1957;46;S;17.11.1957;8;20;22;24;34;49;16; ;       ;      
111;1957;47;S;24.11.1957;1;3;14;23;25;26;21; ;       ;      
112;1957;48;S;01.12.1957;9;11;26;27;36;46;43; ;       ;      
113;1957;49;S;08.12.1957;3;26;32;43;45;47;11; ;       ;      
114;1957;50;S;15.12.1957;7;11;18;22;27;39;46; ;       ;      
115;1957;51;S;22.12.1957;4;7;22;23;28;33;9; ;       ;      
116;1957;52;S;29.12.1957;14;34;36;45;46;47;2; ;       ;      
117;1958;1;S;05.01.1958;6;10;15;21;36;44;8; ;       ;      
118;1958;2;S;12.01.1958;9;19;22;23;36;37;13; ;       ;      
119;1958;3;S;19.01.1958;3;12;14;30;32;34;5; ;       ;      
120;1958;4;S;26.01.1958;4;6;7;23;27;41;14; ;       ;      
121;1958;5;S;02.02.1958;4;34;38;39;46;48;31; ;       ;      
122;1958;6;S;09.02.1958;25;30;37;40;43;45;12; ;       ;      
123;1958;7;S;16.02.1958;8;15;21;36;37;45;12; ;       ;      
124;1958;8;S;23.02.1958;2;3;12;17;19;26;36; ;       ;      
125;1958;9;S;02.03.1958;9;11;21;24;27;48;42; ;       ;      
126;1958;10;S;09.03.1958;5;10;11;20;36;49;38; ;       ;      
127;1958;11;S;16.03.1958;2;6;8;17;18;35;11; ;       ;      
128;1958;12;S;23.03.1958;5;20;22;27;39;43;17; ;       ;      
