Automarke;Preis 
AMC Concord;4099
AMC Pacer;4749
AMC Spirit;3799
Audi 5000;9690
Audi Fox;6295
BMW 320i;9735
Buick Century;4816
Buick Electra;7827
Buick LeSabre;5788
Buick Opel;4453
Buick Regal;5189
Buick Riviera;10372
Buick Skylark;4082
Cad. Deville;11385
Cad. Eldorado;14500
Cad. Seville;15906
Chev. Chevette;3299
Chev. Impala;5705
Chev. Malibu;4504
Chev. Monte Carlo;5104
Chev. Monza;3667
Chev. Nova;3955
Datsun 200;6229
Datsun 210;4589
Datsun 510;5079
Datsun 810;8129
Dodge Colt;3984
Dodge Diplomat;4010
Dodge Magnum;5886
Dodge St. Regis;6342
Fiat Strada;4296
Ford Fiesta;4389
Ford Mustang;4187
Honda Accord;5799
Honda Civic;4499
Linc. Continental;11497
Linc. Mark V;13594
Linc. Versailles;13466
Mazda GLC;3995
Merc. Bobcat;3829
Merc. Cougar;5379
Merc. Marquis;6165
Merc. Monarch;4516
Merc. XR-7;6303
Merc. Zephyr;3291
Olds 98;8814
Olds Cutl Supr;5172
Olds Cutlass;4733
Olds Delta 88;4890
Olds Omega;4181
Olds Starfire;4195
Olds Toronado;10371
Peugeot 604;12990
Plym. Arrow;4647
Plym. Champ;4425
Plym. Horizon;4482
Plym. Sapporo;6486
Plym. Volare;4060
Pont. Catalina;5798
Pont. Firebird;4934
Pont. Grand Prix;5222
Pont. Le Mans;4723
Pont. Phoenix;4424
Pont. Sunbird;4172
Renault Le Car;3895
Subaru;3798
Toyota Celica;5899
Toyota Corolla;3748
Toyota Corona;5719
Volvo 260;11995
VW Dasher;7140
VW Diesel;5397
VW Rabbit;4697
VW Scirocco;6850
